Affiliated Research Centers,Affiliated Research Labs,Broad Research Areas,DBLP name (all entries):,Department (home),Faculty Update Table,Google Scholar URL,Home page:,Name,Research Areas,Research Areas - Split 1,Research Areas - Split 10,Research Areas - Split 2,Research Areas - Split 3,Research Areas - Split 4,Research Areas - Split 5,Research Areas - Split 6,Research Areas - Split 7,Research Areas - Split 8,Research Areas - Split 9
,,,"Dewan Tanvir Ahmed, Dewan T. Ahmed",CS,,https://scholar.google.com/citations?user=s2ux4pIAAAAJ&hl=en,http://webpages.uncc.edu/dahmed,Dewan Ahmed,"Computer Networks,Distributed Systems and Algorithms,Simulation and Modeling,Serious Games,Multimedia Communication,IoT,Vehicular Networks,Surveillance Systems,Pervasive Computing",Computer Networks,,Distributed Systems and Algorithms,Simulation and Modeling,Serious Games,Multimedia Communication,IoT,Vehicular Networks,Surveillance Systems,Pervasive Computing
ROSEHUB (Robots and Sensors for Human Well-being),"Robotics Lab,""Intelligent, Multimedia, and Interactive Systems Lab""","Artificial Intelligence,Motion Planning,Robotics",Srinivas Akella,CS,,https://scholar.google.com/citations?user=vPOJwdkAAAAJ&hl=en,http://webpages.uncc.edu/sakella,Srinivas Akella,"Robotics,Automation and manufacturing,Biotechnology,Multiple robot coordination,Motion planning",Robotics,,Automation and manufacturing,Biotechnology,Multiple robot coordination,Motion planning,,,,
Cyber Defense and Network Assurability Center,,,"Ehab Al-Shaer, Ehab S. Al-Shaer",SIS,,https://scholar.google.com/citations?user=3ewd8VwAAAAJ&hl=en,http://webpages.uncc.edu/ealshaer,Ehab Al-Shaer,"Network Security,Security Analytics,Network Assurability,Fault Diagnosis",Network Security,,Security Analytics,Network Assurability,Fault Diagnosis,,,,,
,,,Julio Cesar Bahamon,CS,,https://scholar.google.com/citations?user=jelRBjAAAAAJ&hl=en,https://juliobahamon.wordpress.com,Julio Bahamon,"Artificial Intelligence,Narrative Generation,Computational Models of Narratives,Digital Games,Computer Science Education",Artificial Intelligence,,Narrative Generation,Computational Models of Narratives,Digital Games,Computer Science Education,,,,
,Bioinformatics Services Division,,"Cory Brouwer, Cory R. Brouwer",Bioinformatics,,https://scholar.google.com/citations?user=cPpOd0kAAAAJ&hl=en&oi=ao,https://cci.uncc.edu/directory/brouwer-cory,Cory Brouwer,"Computational Biology,Bioinformatics,Nutrition,Plant Genomics,Drug Discovery",Computational Biology,,Bioinformatics,Nutrition,Plant Genomics,Drug Discovery,,,,
,,,Lijuan Cao,SIS,,https://scholar.google.com/citations?user=rY-KxFsAAAAJ&hl=en,https://cci.uncc.edu/directory/cao-lijuan,Lijuan Cao,"Wireless Networking,Mobile Computing",Wireless Networking,,Mobile Computing,,,,,,,
,,,Dazhao Cheng,CS,,https://scholar.google.com/citations?user=rRsraIwAAAAJ&hl=en,http://webpages.uncc.edu/dcheng3,Dazhao Cheng,"Big Data Analytics,Cloud Computing,Sustainable Datacenters,Distributed Systems,Parallel Computing",Big Data Analytics,,Cloud Computing,Sustainable Datacenters,Distributed Systems,Parallel Computing,,,,
,,,Bill Chu,SIS,,,https://cci.uncc.edu/directory/chu-bill,Bill Chu,"Enterprise Integration,Information Privacy and Security,Electronic Commerce,Computer Integrated Manufacturing",Enterprise Integration,,Information Privacy and Security,Electronic Commerce,Computer Integrated Manufacturing,,,,,
,Cooper Lab,"Complex Traits,Evolution,Comparative Genomics",,Bioinformatics,,https://scholar.google.com/citations?user=j9B60e4AAAAJ&hl=en&authuser=1,https://elizcooperlab.com/,Elizabeth Cooper,"Plant Genomics,Population Genomics,Diversification",Plant Genomics,,Population Genomics,Diversification,,,,,,
,,,Bojan Cukic,CS,,https://scholar.google.com/citations?user=B7N812UAAAAJ&hl=en,,Bojan Cukic,"Software Engineering,Dependable Computing,Identity Management",Software Engineering,,Dependable Computing,Identity Management,,,,,,
